Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
74,UK 854,UK,A 320,Daily,BLR,20:15,,,27-Oct-2019,28-Mar-2020
75,UK 988,UK,A 320,Daily,,,DEL,20:55,27-Oct-2019,28-Mar-2020
76,UK 827,UK,A 320,Daily,,,MAA,21:00,27-Oct-2019,28-Mar-2020
77,UK 857,UK,A 320,Daily,,,BLR,21:05,27-Oct-2019,28-Mar-2020
78,UK 977,UK,A 320,Daily,DEL,21:15,,,27-Oct-2019,28-Mar-2020
79,UK 652,UK,A 320,Daily,IXC,21:35,,,27-Oct-2019,28-Mar-2020
80,UK 850,UK,B 738,Daily,BLR,21:50,,,27-Oct-2019,27-Mar-2020
81,UK 850,UK,B 738,6,BLR,21:50,,,28-Mar-2020,28-Mar-2020
82,UK 985,UK,A 320,Daily,DEL,21:55,,,27-Oct-2019,28-Mar-2020
83,UK 950,UK,A 320,Daily,,,DEL,21:55,27-Oct-2019,28-Mar-2020
84,UK 824,UK,B 738,Daily,MAA,22:35,,,27-Oct-2019,28-Mar-2020
85,UK 986,UK,A 320,Daily,,,DEL,22:40,27-Oct-2019,28-Mar-2020
86,UK 953,UK,A 320,Daily,DEL,22:50,,,27-Oct-2019,28-Mar-2020
87,UK 876,UK,B 738,Daily,HYD,22:55,,,27-Oct-2019,27-Mar-2020
88,UK 876,UK,B 738,6,HYD,22:55,,,28-Mar-2020,28-Mar-2020
89,UK 866,UK,B 738,Daily,BLR,23:25,,,27-Oct-2019,28-Mar-2020
90,UK 981,UK,A 320,Daily,DEL,23:50,,,27-Oct-2019,28-Mar-2020
Patna,,,,,,,,,,
1,UK 505,UK,A 320,Daily,DEL,8:30,,,27-Oct-2019,28-Mar-2020
2,UK 506,UK,A 320,Daily,,,DEL,9:00,27-Oct-2019,28-Mar-2020
3,UK 715,UK,A 320,Daily,DEL,20:00,,,27-Oct-2019,28-Mar-2020
4,UK 716,UK,A 320,Daily,,,DEL,20:30,27-Oct-2019,28-Mar-2020
Port Blair,,,,,,,,,,
1,UK 763,UK,A 320,Daily,CCU,7:40,,,15-Nov-2019,28-Mar-2020
2,UK 766,UK,A 320,Daily,,,MAA,8:15,15-Nov-2019,28-Mar-2020
3,UK 747,UK,A 320,Daily,CCU,11:20,,,27-Oct-2019,28-Mar-2020
4,UK 833,UK,A 320,Daily,MAA,11:20,,,01-Dec-2019,28-Mar-2020
5,UK 778,UK,A 320,Daily,,,CCU,11:55,27-Oct-2019,28-Mar-2020
6,UK 834,UK,A 320,Daily,,,MAA,11:55,01-Dec-2019,28-Mar-2020
7,UK 833,UK,A 320,Daily,MAA,13:10,,,27-Oct-2019,30-Nov-2019
8,UK 834,UK,A 320,Daily,,,MAA,13:55,27-Oct-2019,30-Nov-2019
Pune,,,,,,,,,,
1,UK 989,UK,A 320,Daily,DEL,5:15,,,27-Oct-2019,28-Mar-2020
2,UK 990,UK,A 320,Daily,,,DEL,5:55,27-Oct-2019,28-Mar-2020
3,UK 971,UK,A 320,123457,DEL,12:35,,,27-Oct-2019,27-Mar-2020
4,UK 972,UK,A 320,123457,,,DEL,13:10,27-Oct-2019,27-Mar-2020
5,UK 931,UK,A 320,123457,DEL,16:20,,,27-Oct-2019,27-Mar-2020
6,UK 998,UK,A 320,123457,,,DEL,16:55,27-Oct-2019,27-Mar-2020
7,UK 997,UK,A 320,Daily,DEL,19:40,,,27-Oct-2019,28-Mar-2020
8,UK 992,UK,A 320,Daily,,,DEL,20:20,27-Oct-2019,28-Mar-2020
Raipur,,,,,,,,,,
1,UK 793,UK,A 320,Daily,DEL,8:20,,,27-Oct-2019,28-Mar-2020
2,UK 794,UK,A 320,Daily,,,DEL,8:55,27-Oct-2019,28-Mar-2020
3,UK 797,UK,A 320,Daily,DEL,19:40,,,27-Oct-2019,28-Mar-2020
4,UK 798,UK,A 320,Daily,,,DEL,20:15,27-Oct-2019,28-Mar-2020
Ranchi,,,,,,,,,,
1,UK 751,UK,A 320,Daily,DEL,8:20,,,27-Oct-2019,28-Mar-2020
2,UK 752,UK,A 320,Daily,,,DEL,9:15,27-Oct-2019,28-Mar-2020
3,UK 753,UK,A 320,Daily,DEL,19:25,,,27-Oct-2019,28-Mar-2020
4,UK 754,UK,A 320,Daily,,,DEL,20:20,27-Oct-2019,28-Mar-2020
Srinagar,,,,,,,,,,
1,UK 611,UK,A 320,Daily,DEL,12:10,,,27-Oct-2019,28-Mar-2020
2,UK 611,UK,A 320,Daily,,,IXJ,12:40,27-Oct-2019,28-Mar-2020
3,UK 612,UK,A 320,Daily,IXJ,15:05,,,27-Oct-2019,28-Mar-2020
4,UK 612,UK,A 320,Daily,,,DEL,15:40,27-Oct-2019,28-Mar-2020
5,UK 970,UK,A 320,Daily,DEL,16:30,,,27-Oct-2019,28-Mar-2020
6,UK 941,UK,A 320,Daily,,,DEL,17:00,27-Oct-2019,28-Mar-2020
Trivandrum,,,,,,,,,,
1,UK 897,UK,B 738,Daily,DEL,10:20,,,27-Oct-2019,28-Mar-2020
2,UK 898,UK,B 738,Daily,,,DEL,11:00,27-Oct-2019,28-Mar-2020
Udaipur,,,,,,,,,,
1,UK 635,UK,A 320,Daily,DEL,12:35,,,27-Oct-2019,28-Mar-2020
2,UK 636,UK,A 320,Daily,,,DEL,13:10,27-Oct-2019,28-Mar-2020
3,UK 613,UK,B 738,Daily,BOM,13:45,,,27-Oct-2019,28-Mar-2020
4,UK 614,UK,B 738,Daily,,,BOM,14:20,27-Oct-2019,28-Mar-2020
5,UK 627,UK,A 320,Daily,DEL,14:45,,,27-Oct-2019,28-Mar-2020
6,UK 628,UK,A 320,Daily,,,DEL,15:20,27-Oct-2019,28-Mar-2020
Varanasi,,,,,,,,,,
1,UK 631,UK,A 320,Daily,DEL,12:10,,,27-Oct-2019,04-Nov-2019
2,UK 631,UK,A 320,Daily,DEL,12:10,,,05-Nov-2019,31-Dec-2019
3,UK 631,UK,A 320,Daily,DEL,12:10,,,01-Jan-2020,28-Mar-2020
4,UK 631,UK,A 320,Daily,,,HJR,12:45,05-Nov-2019,31-Dec-2019
5,UK 631,UK,A 320,Daily,,,HJR,12:45,01-Jan-2020,28-Mar-2020
6,UK 632,UK,A 320,Daily,,,DEL,12:45,27-Oct-2019,04-Nov-2019
7,UK 621,UK,A 320,Daily,BOM,13:10,,,27-Oct-2019,04-Nov-2019
8,UK 621,UK,A 320,Daily,BOM,13:10,,,05-Nov-2019,28-Mar-2020
9,UK 622,UK,A 320,Daily,,,BOM,13:45,27-Oct-2019,04-Nov-2019
10,UK 632,UK,A 320,Daily,,,DEL,13:45,05-Nov-2019,28-Mar-2020
11,UK 812,UK,B 738,Daily,DEL,14:45,,,27-Oct-2019,28-Mar-2020
12,UK 813,UK,B 738,Daily,,,DEL,15:20,27-Oct-2019,28-Mar-2020
13,UK 622,UK,B 738,Daily,HJR,15:25,,,05-Nov-2019,28-Mar-2020
14,UK 622,UK,B 738,Daily,,,BOM,16:00,05-Nov-2019,28-Mar-2020
15,UK 671,UK,A 320,Daily,DEL,17:40,,,27-Oct-2019,28-Mar-2020
16,UK 672,UK,A 320,Daily,,,DEL,18:15,27-Oct-2019,28-Mar-2020
