Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
2,G8 771,GOW,A 320,Daily,TRV,0:20,,,27-Oct-19,28-Mar-20
3,G8 284,GOW,A 320,Daily,PNQ,0:35,,,27-Oct-19,28-Mar-20
4,G8 325,GOW,A 320,134567,BOM,0:35,,,27-Oct-19,30-Nov-19
5,G8 325,GOW,A 320,2,BOM,0:35,,,27-Oct-19,26-Nov-19
6,G8 325,GOW,A 320,134567,BOM,0:35,,,1-Dec-19,28-Mar-20
7,G8 325,GOW,A 320,2,BOM,0:35,,,3-Dec-19,28-Mar-20
8,G8 293,GOW,A 320,Daily,PNQ,3:00,,,27-Oct-19,28-Mar-20
9,G8 766,GOW,A 320,Daily,,,VNS,4:50,27-Oct-19,28-Mar-20
10,G8 283,GOW,A 320,Daily,,,PNQ,5:40,27-Oct-19,28-Mar-20
11,G8 418,GOW,A 320,Daily,,,BOM,5:45,27-Oct-19,28-Mar-20
12,G8 801,GOW,A 320,134567,,,AMD,6:25,27-Oct-19,30-Nov-19
13,G8 509,GOW,A 320,Daily,HYD,6:25,,,27-Oct-19,30-Nov-19
14,G8 509,GOW,A 320,134567,HYD,6:25,,,1-Dec-19,28-Mar-20
15,G8 509,GOW,A 320,2,HYD,6:25,,,3-Dec-19,28-Mar-20
16,G8 801,GOW,A 320,2,,,AMD,6:30,27-Oct-19,26-Nov-19
17,G8 1802,GOW,A 320,134567,,,IXZ,6:30,1-Dec-19,28-Mar-20
18,G8 801,GOW,A 320,2,,,AMD,6:30,3-Dec-19,28-Mar-20
19,G8 621,GOW,A 320,Daily,CNN,6:50,,,27-Oct-19,28-Mar-20
20,G8 622,GOW,A 320,Daily,,,CNN,7:30,27-Oct-19,30-Nov-19
21,G8 801,GOW,A 320,134567,,,AMD,7:30,1-Dec-19,28-Mar-20
22,G8 1801,GOW,A 320,2,,,NAG,7:30,3-Dec-19,28-Mar-20
23,G8 510,GOW,A 320,Daily,,,HYD,7:30,27-Oct-19,28-Mar-20
24,G8 116,GOW,A 320,Daily,,,DEL,7:40,27-Oct-19,28-Mar-20
25,G8 317,GOW,A 320,Daily,BOM,7:40,,,27-Oct-19,28-Mar-20
26,G8 811,GOW,A 320,Daily,NAG,7:45,,,27-Oct-19,28-Mar-20
27,G8 395,GOW,A 320,Daily,,,BOM,8:10,27-Oct-19,28-Mar-20
28,G8 805,GOW,A 320,Daily,,,LKO,8:15,27-Oct-19,28-Mar-20
29,G8 113,GOW,A 320,Daily,DEL,8:40,,,27-Oct-19,28-Mar-20
30,G8 373,GOW,A 320,Daily,,,PAT,9:15,27-Oct-19,28-Mar-20
31,G8 273,GOW,A 320,7,PAT,10:30,,,27-Oct-19,23-Feb-20
32,G8 273,GOW,A 320,7,PAT,10:30,,,1-Mar-20,28-Mar-20
33,G8 273,GOW,A 320,13456,PAT,10:30,,,27-Oct-19,28-Mar-20
34,G8 273,GOW,A 320,2,PAT,10:30,,,27-Oct-19,28-Mar-20
35,G8 291,GOW,A 320,134567,HYD,10:50,,,27-Oct-19,30-Nov-19
36,G8 291,GOW,A 320,134567,HYD,10:50,,,1-Dec-19,31-Jan-20
37,G8 291,GOW,A 320,134567,HYD,10:50,,,1-Feb-20,28-Mar-20
38,G8 291,GOW,A 320,2,HYD,10:50,,,27-Oct-19,28-Mar-20
39,G8 1802,GOW,A 320,2,NAG,11:15,,,3-Dec-19,28-Mar-20
40,G8 374,GOW,A 320,134567,,,IXR,11:20,27-Oct-19,30-Nov-19
41,G8 374,GOW,A 320,134567,,,HYD,11:20,1-Dec-19,31-Jan-20
42,G8 374,GOW,A 320,134567,,,IXR,11:20,1-Feb-20,28-Mar-20
43,G8 802,GOW,A 320,134567,AMD,11:25,,,27-Oct-19,30-Nov-19
44,G8 802,GOW,A 320,2,AMD,11:25,,,27-Oct-19,26-Nov-19
45,G8 802,GOW,A 320,2,AMD,11:25,,,3-Dec-19,28-Mar-20
46,G8 894,GOW,A 320,7,,,HYD,11:30,27-Oct-19,23-Feb-20
47,G8 894,GOW,A 320,7,,,HYD,11:30,1-Mar-20,28-Mar-20
48,G8 120,GOW,A 320,13456,,,DEL,11:40,27-Oct-19,28-Mar-20
49,G8 120,GOW,A 320,2,,,DEL,11:40,27-Oct-19,28-Mar-20
50,G8 622,GOW,A 320,2,,,CNN,11:45,3-Dec-19,28-Mar-20
51,G8 802,GOW,A 320,134567,,,IXZ,12:10,27-Oct-19,30-Nov-19
52,G8 802,GOW,A 320,2,,,IXZ,12:10,27-Oct-19,26-Nov-19
53,G8 803,GOW,A 320,134567,IXZ,12:15,,,1-Dec-19,28-Mar-20
54,G8 241,GOW,A 320,13457,,,PNQ,12:20,27-Oct-19,28-Mar-20
55,G8 802,GOW,A 320,134567,AMD,12:25,,,1-Dec-19,28-Mar-20
56,G8 622,GOW,A 320,134567,,,CNN,12:50,1-Dec-19,28-Mar-20
57,G8 807,GOW,A 320,134567,LKO,13:50,,,27-Oct-19,28-Mar-20
58,G8 623,GOW,A 320,134567,CNN,14:10,,,27-Oct-19,28-Mar-20
59,G8 896,GOW,A 320,7,HYD,14:25,,,27-Oct-19,28-Mar-20
60,G8 769,GOW,A 320,134567,VNS,14:40,,,27-Oct-19,28-Mar-20
61,G8 624,GOW,A 320,134567,,,CNN,14:45,27-Oct-19,28-Mar-20
62,G8 378,GOW,A 320,134567,PAT,14:55,,,27-Oct-19,28-Mar-20
63,G8 893,GOW,A 320,7,,,PNQ,15:00,27-Oct-19,28-Mar-20
64,G8 286,GOW,A 320,134567,GOI,15:10,,,27-Oct-19,28-Mar-20
65,G8 286,GOW,A 320,2,GOI,15:20,,,27-Oct-19,28-Mar-20
66,G8 285,GOW,A 320,134567,,,GOI,15:45,27-Oct-19,28-Mar-20
67,G8 770,GOW,A 320,134567,,,TRV,15:50,27-Oct-19,28-Mar-20
68,G8 285,GOW,A 320,2,,,GOI,15:50,27-Oct-19,28-Mar-20
69,G8 242,GOW,A 320,13457,PNQ,15:50,,,27-Oct-19,28-Mar-20
70,G8 805,GOW,A 320,2,AMD,15:50,,,27-Oct-19,28-Mar-20
71,G8 373,GOW,A 320,2,IXR,16:00,,,27-Oct-19,28-Mar-20
72,G8 808,GOW,A 320,134567,,,LKO,16:10,27-Oct-19,28-Mar-20
73,G8 382,GOW,A 320,13457,BOM,16:10,,,27-Oct-19,28-Mar-20
74,G8 382,GOW,A 320,2,BOM,16:10,,,27-Oct-19,28-Mar-20
75,G8 382,GOW,A 320,6,BOM,16:10,,,27-Oct-19,28-Mar-20
76,G8 769,GOW,A 320,2,VNS,16:10,,,27-Oct-19,28-Mar-20
77,G8 375,GOW,A 320,134567,HYD,16:15,,,1-Dec-19,31-Jan-20
78,G8 808,GOW,A 320,2,,,LKO,16:20,27-Oct-19,28-Mar-20
79,G8 320,GOW,A 320,134567,,,BOM,16:25,27-Oct-19,28-Mar-20
80,G8 320,GOW,A 320,2,,,BOM,16:30,27-Oct-19,28-Mar-20
81,G8 375,GOW,A 320,134567,IXR,16:35,,,1-Feb-20,28-Mar-20
82,G8 375,GOW,A 320,134567,IXR,16:35,,,27-Oct-19,30-Nov-19
83,G8 815,GOW,A 320,13457,,,HYD,16:45,27-Oct-19,28-Mar-20
84,G8 815,GOW,A 320,2,,,HYD,16:45,27-Oct-19,28-Mar-20
85,G8 241,GOW,A 320,6,,,PNQ,16:45,27-Oct-19,28-Mar-20
86,G8 770,GOW,A 320,2,,,TRV,16:50,27-Oct-19,28-Mar-20
87,G8 311,GOW,A 320,134567,IDR,16:50,,,27-Oct-19,28-Mar-20
88,G8 312,GOW,A 320,134567,,,IDR,17:25,27-Oct-19,28-Mar-20
89,G8 803,GOW,A 320,Daily,IXZ,17:55,,,27-Oct-19,30-Nov-19
90,G8 124,GOW,A 320,123456,DEL,18:05,,,27-Oct-19,28-Mar-20
91,G8 895,GOW,A 320,7,PNQ,18:25,,,27-Oct-19,28-Mar-20
92,G8 294,GOW,A 320,123456,,,HYD,18:55,27-Oct-19,28-Mar-20
93,G8 294,GOW,A 320,7,,,HYD,18:55,27-Oct-19,28-Mar-20
94,G8 803,GOW,A 320,2,,,AMD,19:00,3-Dec-19,28-Mar-20
95,G8 803,GOW,A 320,134567,,,AMD,19:00,1-Dec-19,31-Jan-20
96,G8 803,GOW,A 320,134567,,,AMD,19:00,1-Feb-20,28-Mar-20
97,G8 803,GOW,A 320,Daily,,,AMD,19:00,27-Oct-19,30-Nov-19
98,G8 274,GOW,A 320,2,,,PAT,19:20,27-Oct-19,28-Mar-20
99,G8 274,GOW,A 320,134567,,,PAT,19:20,1-Dec-19,28-Mar-20
100,G8 274,GOW,A 320,134567,,,PAT,19:20,27-Oct-19,30-Nov-19
101,G8 816,GOW,A 320,13457,HYD,19:35,,,27-Oct-19,28-Mar-20
102,G8 816,GOW,A 320,2,HYD,19:35,,,27-Oct-19,28-Mar-20
103,G8 242,GOW,A 320,6,PNQ,20:15,,,27-Oct-19,28-Mar-20
104,G8 118,GOW,A 320,13457,,,DEL,20:55,27-Oct-19,28-Mar-20
105,G8 118,GOW,A 320,2,,,DEL,20:55,27-Oct-19,28-Mar-20
106,G8 118,GOW,A 320,6,,,DEL,20:55,27-Oct-19,28-Mar-20
107,G8 557,GOW,A 320,Daily,DEL,21:35,,,27-Oct-19,28-Mar-20
108,G8 806,GOW,A 320,134567,LKO,21:35,,,27-Oct-19,28-Mar-20
109,G8 806,GOW,A 320,2,LKO,21:35,,,27-Oct-19,28-Mar-20
110,G8 517,GOW,A 320,7,HYD,21:55,,,27-Oct-19,28-Mar-20
111,G8 517,GOW,A 320,123456,HYD,22:00,,,27-Oct-19,28-Mar-20
112,G8 526,GOW,A 320,Daily,,,BOM,22:15,27-Oct-19,28-Mar-20
113,G8 812,GOW,A 320,134567,,,NAG,22:15,27-Oct-19,28-Mar-20
114,G8 812,GOW,A 320,2,,,NAG,22:15,27-Oct-19,28-Mar-20
115,G8 398,GOW,A 320,Daily,BOM,22:45,,,27-Oct-19,28-Mar-20
116,G8 518,GOW,A 320,7,,,HYD,22:50,27-Oct-19,28-Mar-20
117,G8 518,GOW,A 320,123456,,,HYD,22:50,27-Oct-19,28-Mar-20
118,G8 292,GOW,A 320,Daily,,,PNQ,23:20,27-Oct-19,28-Mar-20
Bhubaneshwar,,,,,,,,,,
1,G8 615,GOW,A 320,Daily,DEL,7:05,,,1-Dec-19,31-Jan-20
2,G8 616,GOW,A 320,Daily,,,DEL,7:35,1-Dec-19,31-Jan-20
3,G8 605,GOW,A 320,Daily,CCU,9:40,,,27-Oct-19,28-Mar-20
4,G8 761,GOW,A 320,Daily,,,CCU,11:30,27-Oct-19,28-Mar-20
5,G8 244,GOW,A 320,Daily,BOM,19:15,,,27-Oct-19,28-Mar-20
6,G8 247,GOW,A 320,Daily,,,BOM,19:45,27-Oct-19,28-Mar-20
Chandigarh,,,,,,,,,,
1,G8 563,GOW,A 320,7,,,AMD,6:00,27-Oct-19,27-Oct-19
2,G8 563,GOW,A 320,Daily,,,AMD,6:00,28-Oct-19,28-Mar-20
3,G8 107,GOW,A 320,7,,,DEL,6:25,27-Oct-19,27-Oct-19
4,G8 107,GOW,A 320,Daily,,,DEL,6:25,28-Oct-19,28-Mar-20
5,G8 561,GOW,A 320,Daily,BOM,7:25,,,1-Mar-20,28-Mar-20
6,G8 562,GOW,A 320,Daily,,,BOM,7:55,1-Mar-20,28-Mar-20
7,G8 108,GOW,A 320,123456,DEL,10:05,,,28-Oct-19,28-Mar-20
8,G8 381,GOW,A 320,123456,BOM,10:55,,,28-Oct-19,28-Mar-20
9,G8 109,GOW,A 320,123456,,,AMD,11:05,28-Oct-19,28-Mar-20
10,G8 911,GOW,A 320,123456,AMD,11:25,,,28-Oct-19,28-Mar-20
11,G8 382,GOW,A 320,123456,,,BOM,11:25,28-Oct-19,28-Mar-20
12,G8 513,GOW,A 320,123456,HYD,11:35,,,28-Oct-19,28-Mar-20
13,G8 911,GOW,A 320,123456,,,SXR,12:00,28-Oct-19,28-Mar-20
14,G8 514,GOW,A 320,123456,,,HYD,12:05,28-Oct-19,28-Mar-20
15,G8 179,GOW,A 320,123456,CCU,12:35,,,1-Jan-20,28-Mar-20
16,G8 180,GOW,A 320,123456,,,CCU,13:05,1-Jan-20,28-Mar-20
17,G8 913,GOW,A 320,123456,SXR,15:00,,,28-Oct-19,28-Mar-20
18,G8 913,GOW,A 320,123456,,,AMD,15:35,28-Oct-19,28-Mar-20
19,G8 2506,GOW,A 320,Daily,BOM,19:25,,,27-Oct-19,28-Mar-20
20,G8 2507,GOW,A 320,Daily,,,BOM,19:55,27-Oct-19,28-Mar-20
21,G8 137,GOW,A 320,Daily,AMD,20:10,,,27-Oct-19,28-Mar-20
22,G8 138,GOW,A 320,Daily,,,DEL,20:40,27-Oct-19,28-Mar-20
23,G8 569,GOW,A 320,6,AMD,20:50,,,28-Mar-20,28-Mar-20
24,G8 569,GOW,A 320,Daily,AMD,20:50,,,27-Oct-19,27-Mar-20
25,G8 139,GOW,A 320,6,DEL,23:35,,,28-Mar-20,28-Mar-20
26,G8 139,GOW,A 320,Daily,DEL,23:35,,,27-Oct-19,27-Mar-20
Chennai,,,,,,,,,,
1,G8 633,GOW,A 320,7,PNQ,0:45,,,3-Nov-19,23-Feb-20
2,G8 633,GOW,A 320,123456,PNQ,0:45,,,28-Oct-19,29-Feb-20
3,G8 633,GOW,A 320,Daily,PNQ,0:45,,,1-Mar-20,28-Mar-20
4,G8 912,GOW,A 320,Daily,AMD,1:15,,,27-Oct-19,29-Feb-20
5,G8 912,GOW,A 320,Daily,AMD,1:15,,,1-Mar-20,28-Mar-20
6,G8 1305,GOW,A 320,Daily,,,IXZ,4:25,1-Mar-20,28-Mar-20
7,G8 920,GOW,A 320,7,,,TRV,4:50,27-Oct-19,27-Oct-19
8,G8 302,GOW,A 320,Daily,,,BOM,5:00,27-Oct-19,29-Feb-20
9,G8 302,GOW,A 320,Daily,,,BOM,5:00,1-Mar-20,28-Mar-20
10,G8 305,GOW,A 320,7,BOM,6:00,,,1-Mar-20,22-Mar-20
11,G8 305,GOW,A 320,123456,BOM,6:00,,,2-Mar-20,28-Mar-20
12,G8 911,GOW,A 320,123456,,,AMD,6:40,28-Oct-19,29-Feb-20
13,G8 911,GOW,A 320,123456,,,AMD,6:40,2-Mar-20,28-Mar-20
14,G8 305,GOW,A 320,Daily,BOM,7:40,,,27-Oct-19,29-Feb-20
15,G8 921,GOW,A 320,Daily,TRV,8:15,,,27-Oct-19,28-Mar-20
16,G8 305,GOW,A 320,Daily,,,IXZ,8:15,27-Oct-19,29-Feb-20
17,G8 922,GOW,A 320,Daily,,,IDR,9:10,27-Oct-19,28-Mar-20
18,G8 304,GOW,A 320,Daily,IXZ,9:20,,,1-Mar-20,28-Mar-20
19,G8 503,GOW,A 320,Daily,HYD,12:15,,,27-Oct-19,28-Mar-20
20,G8 504,GOW,A 320,Daily,,,HYD,12:45,27-Oct-19,28-Mar-20
21,G8 304,GOW,A 320,Daily,IXZ,13:10,,,27-Oct-19,29-Feb-20
22,G8 304,GOW,A 320,Daily,,,BOM,13:45,27-Oct-19,29-Feb-20
23,G8 304,GOW,A 320,Daily,,,BOM,13:45,1-Mar-20,28-Mar-20
24,G8 911,GOW,A 320,7,,,AMD,15:15,3-Nov-19,23-Feb-20
25,G8 911,GOW,A 320,7,,,AMD,15:15,1-Mar-20,22-Mar-20
26,G8 627,GOW,A 320,Daily,CNN,17:40,,,27-Oct-19,28-Mar-20
27,G8 628,GOW,A 320,Daily,,,CNN,18:10,27-Oct-19,28-Mar-20
28,G8 925,GOW,A 320,Daily,TRV,19:15,,,27-Oct-19,28-Mar-20
29,G8 926,GOW,A 320,Daily,,,TRV,19:50,27-Oct-19,28-Mar-20
30,G8 303,GOW,A 320,3,BOM,20:10,,,30-Oct-19,25-Mar-20
31,G8 303,GOW,A 320,124567,BOM,20:10,,,27-Oct-19,28-Mar-20
32,G8 451,GOW,A 320,3,,,PNQ,21:00,30-Oct-19,25-Mar-20
33,G8 451,GOW,A 320,124567,,,PNQ,21:00,27-Oct-19,28-Mar-20
Delhi,,,,,,,,,,
1,G8 714,GOW,A 320,7,AMD,0:10,,,27-Oct-19,27-Oct-19
2,G8 714,GOW,A 320,6,AMD,0:10,,,2-Nov-19,30-Nov-19
3,G8 714,GOW,A 320,6,AMD,0:10,,,7-Dec-19,25-Jan-20
4,G8 714,GOW,A 320,6,AMD,0:10,,,1-Feb-20,28-Mar-20
5,G8 714,GOW,A 320,123457,AMD,0:10,,,28-Oct-19,27-Mar-20
6,G8 144,GOW,A 320,7,PAT,0:20,,,27-Oct-19,27-Oct-19
7,G8 144,GOW,A 320,6,PAT,0:20,,,2-Nov-19,28-Mar-20
8,G8 144,GOW,A 320,123457,PAT,0:20,,,28-Oct-19,27-Mar-20
9,G8 288,GOW,A 320,Daily,VNS,1:00,,,27-Oct-19,28-Mar-20
10,G8 345,GOW,A 320,7,BOM,1:05,,,27-Oct-19,27-Oct-19
11,G8 345,GOW,A 320,6,BOM,1:05,,,2-Nov-19,28-Mar-20
12,G8 345,GOW,A 320,123457,BOM,1:05,,,28-Oct-19,27-Mar-20
13,G8 426,GOW,A 320,7,HYD,1:15,,,27-Oct-19,27-Oct-19
14,G8 426,GOW,A 320,6,HYD,1:15,,,2-Nov-19,28-Mar-20
15,G8 426,GOW,A 320,123457,HYD,1:15,,,28-Oct-19,27-Mar-20
16,G8 106,GOW,A 320,7,CCU,2:10,,,27-Oct-19,27-Oct-19
17,G8 106,GOW,A 320,Daily,CCU,2:10,,,28-Oct-19,28-Mar-20
18,G8 2508,GOW,A 320,Daily,BOM,2:15,,,27-Oct-19,28-Mar-20
19,G8 2501,GOW,A 320,7,,,BOM,2:40,27-Oct-19,27-Oct-19
20,G8 2501,GOW,A 320,Daily,,,BOM,2:40,28-Oct-19,28-Mar-20
21,G8 176,GOW,A 320,6,PNQ,3:25,,,2-Nov-19,28-Mar-20
22,G8 176,GOW,A 320,123457,PNQ,3:25,,,27-Oct-19,27-Mar-20
23,G8 207,GOW,A 320,123457,,,LKO,5:00,27-Oct-19,27-Mar-20
24,G8 183,GOW,A 320,7,,,GAU,5:35,27-Oct-19,27-Oct-19
25,G8 183,GOW,A 320,Daily,,,GAU,5:35,28-Oct-19,28-Mar-20
26,G8 143,GOW,A 320,Daily,,,IXR,5:45,1-Dec-19,31-Jan-20
27,G8 143,GOW,A 320,Daily,,,PAT,5:45,27-Oct-19,30-Nov-19
28,G8 143,GOW,A 320,Daily,,,PAT,5:45,1-Feb-20,28-Mar-20
29,G8 101,GOW,A 320,7,,,CCU,5:50,27-Oct-19,27-Oct-19
30,G8 101,GOW,A 320,6,,,CCU,5:50,2-Nov-19,28-Mar-20
31,G8 101,GOW,A 320,123457,,,CCU,5:50,28-Oct-19,27-Mar-20
32,G8 113,GOW,A 320,7,,,BLR,5:50,27-Oct-19,27-Oct-19
33,G8 113,GOW,A 320,6,,,BLR,5:50,2-Nov-19,28-Mar-20
34,G8 113,GOW,A 320,123457,,,BLR,5:50,28-Oct-19,27-Mar-20
35,G8 425,GOW,A 320,7,,,HYD,5:50,27-Oct-19,27-Oct-19
36,G8 425,GOW,A 320,6,,,HYD,5:50,2-Nov-19,28-Mar-20
37,G8 425,GOW,A 320,123457,,,HYD,5:50,28-Oct-19,27-Mar-20
38,G8 719,GOW,A 320,7,,,AMD,6:00,27-Oct-19,27-Oct-19
39,G8 719,GOW,A 320,6,,,AMD,6:00,2-Nov-19,28-Mar-20
40,G8 719,GOW,A 320,123457,,,AMD,6:00,28-Oct-19,27-Mar-20
41,G8 135,GOW,A 320,7,,,PAT,6:05,27-Oct-19,27-Oct-19
